artist,genre
Lianne La Havas,soul
Janelle Monáe,r&b
Eric Benét,r&b
Bernhoft,soul
Sean Hayes,folk
Mayer Hawthorne,soul
Bilal,soul
Andra Day,jazz
The Fray,rock
Bear's Den,folk
The Weeknd,r&b
Fiona Apple,rock
James Bay,singer-songwriter
James Vincent McMorrow,folk
Of Monsters and Men,folk
Hozier,blues
Gardiner Sisters,pop
Julia Sheer,country
Isbells,folk
Kina Grannis,pop
Bon Iver,folk
Craig Cardiff,folk
The Milk Carton Kids,folk
Vance Joy,folk
Laura Marling,folk
Lotte Kestner,shoegaze
Benjamin Francis Leftwich,indie
Villagers,indie folk
Echosmith,alternative
王若琳,pop
José González,singer-songwriter
Roo Panes,singer-songwriter
The Civil Wars,folk
Ben Howard,singer-songwriter
Howie Day,rock
Foy Vance,singer-songwriter
George Ezra,singer-songwriter
Ani DiFranco,folk
The Lumineers,folk rock
Family of the Year,folk
Jason Mraz,pop
The Barr Brothers,folk
Rustie,grime
Jeremih,r&b
Pell,rap
Monogem,techno
Steve Angello,house
Santigold,dub
Chelsea Lankes,pop
Tori Kelly,pop
Nico & Vinz,pop
Diddy,r&b
SafetySuit,rock
TeamMate,rock
ASTR,electronic
The Rocket Summer,rock
Shy FX & T Power,drum and bass
Sub Focus,drum and bass
The Prodigy,electronica
Danny Byrd feat Liquid,liquid funk
The Count & Sinden,dance
Kidda Feat Blak Twang & Lomax,funk
R3hab,dance
Boris Dlugosch,house
Whis this,electro
Atari Era,electro
Hostage,electronic
Kissy Sell Out,electro
Double 99,speed garage
Foamo,electro
Crookers feat Miike Snow,dance
D Ramirez,house
deadmau5,house
Chuckie & LMFAO,electro
Sidney Samson feat Wizard Sleeve,dance
Example,dance
Steve Aoki,dance
Duffy,pop
The Saturdays,pop
Alesha Dixon,pop
Flo Rida,rap
Technical Itch,electronic
Shere Khan,boston hardcore
Aquasky,breakbeat
Rascal & Klone,drum and bass
DKay,drum and bass
N-Code,electro house
Ryme Tyme,drum and bass
Hex,ninja tune
Calyx,drum and bass
TJ Rizing,drum and bass
Omni Trio,drum and bass
Gorillaz,rock
Faithless,dance
Elite Force,breakbeat
Burzum,black metal
The Avalanches,dance
Qadir,hip hop
Grand Theft Auto,soundtrack
1349,black metal
Rob Dougan,soundtrack
Connan Mockasin,psychedelic pop
Erol Alkan,dance
Flipper's Guitar,indie pop
Chet Baker,jazz
Arthur Russell,disco
Blossom Dearie,jazz
Billie Holiday,jazz
Jay-Z,hip hop
Kanye West,hip hop
Future,r&b
Drake,rap
Weezer,rock
Lil B,hip hop
Mitch Murder,80s
Bill Evans,jazz
James Brown,funk
Blur,british pop
Robbie Dupree,soft rock
A$AP Rocky,hip hop
Jimmy Eat World,emo
Volcano, I'm Still Excited!!,indie rock
FKA twigs,trip hop
Heavenly Beat,indie pop
Kings of Convenience,indie pop
Broken Social Scene,indie rock
TOPS,indie
KIT,post-hardcore
Animal Collective,experimental
Surfer Blood,rock
These New Puritans,post-punk
Gil Scott-Heron,soul
MAC MAC,jazz hip hop
Wild Beasts,indie rock
Self Defense Family,post-hardcore
Erlend Øye,electronic
Poliça,synthpop
Bill Conti,soundtrack
Wu-Tang Clan,hip hop
Bright Eyes,indie rock
Brand New,rock
The Dismemberment Plan,indie rock
Paramore,emo
Jeff Buckley,rock
Angus & Julia Stone,folk
Beck,rock
Fleet Foxes,folk
Sara Bareilles,pop
Oh Land,experimental
Bruce Springsteen,rock
Daft Punk,house
Dave Davies,rock
Carly Rae Jepsen,pop
alt-J,alternative
Pixie Lott,pop
Wynonie Harris,blues
John Lee Hooker,blues
Nouvelle Vague,new wave
Lonnie Smith,jazz
Beyoncé,r&b
A Tribe Called Quest,hip hop
Nina Simone,jazz
The Doors,rock
Tha Alkaholiks,hip hop
Terrorvision,rock
The Replacements,rock
Snoop Dogg,hip hop
The Pogues,punk
George Thorogood & The Destroyers,blues
Lambert, Hendricks & Ross,jazz
Freddie McGregor,reggae
People Under the Stairs,hip hop
Billy Starr,rock
Eric Burdon,rock
Dinah Washington,jazz
Busta Rhymes,hip hop
Dropkick Murphys,punk
The Champs,rock
Bob Dylan,rock
LCD Soundsystem,electronic
Noel Gallagher's High Flying Birds,rock
Adam Levine,pop
Keira Knightley,comedy
Cat Stevens,singer-songwriter
Field Report,folk
Damien Rice,singer-songwriter
Jack's Mannequin,piano rock
Frank Sinatra,swing
Johnnie Allan,r&b
John Mayer,pop
The Knife,electronic
Kristen Bell,soundtrack
Idina Menzel,pop
Choir of King's College, Cambridge,symphony
Musica Sacra,choral music
Giovanni Pierluigi da Palestrina,renaissance
John Tavener,classical
Quire Cleveland,renaissance
The Sixteen,classical
Bob Chilcott,choral music
Tenebrae,finnish death metal
Anonymous,instrumental hip hop
Georg Friedrich Händel,opera
Александр Порфирьевич Бородин,classical
Antonín Dvořák,classical
Frédéric Chopin,classical
Gabriel Fauré,classical
Michael Bublé,jazz
Macy Gray,r&b
Joni Mitchell,pop
Bad Company,rock
The Kingsmen,rock
Fountains of Wayne,power pop
The Rembrandts,rock
a-ha,pop
Katy Perry,pop
Journey,rock
Rick Springfield,rock
Sly & The Family Stone,funk
OutKast,hip hop
Andy Grammer,pop
The Five Stairsteps,soul
Smash Mouth,rock
The Archies,pop
Sublime,reggae
Mary Wells,motown
Jimmy Cliff,reggae
Pat Benatar,rock
Pharrell Williams,hip hop
Nathan Lane,comedy
Aretha Franklin,soul
The J Geils Band,rock
Jack Johnson,rock
Golden Earring,rock
Kansas,rock
The Yardbirds,rock
Alice Boman,lo-fi
Ramos,melodic rock
Fossil Collective,folk-pop
Sweetfire,irish trad folk
Koda,ambient
Hamilton,pop
Uniq,grindcore
Emile Haynie,hip hop
Eric Clapton,blues
Jimi Hendrix,rock
Motörhead,rock
Banda Bassotti,ska
Helloween,power metal
Overkill,thrash metal
Mr Big,rock
Elio e le Storie Tese,rock
Deep Purple,rock
99 Posse,hip hop
Iced Earth,heavy metal
Steve Vai,rock
Pantera,metal
Five Finger Death Punch,metal
Rino Gaetano,pop
Punkreas,punk
Death,death metal
Sepultura,thrash metal
Machine Head,metal
Testament,thrash metal
Satirnine,garage rock
Corrosion of Conformity,heavy metal
SOD,hardcore
Peter Heppner,synthpop
Rage Against the Machine,rock
Anthrax,thrash metal
Suicidal Tendencies,punk
Van Halen,rock
Expulsados,punk
Misfits,punk
Slayer,thrash metal
Erlend Øye,electronic
Poliça,synthpop
EMF,pop
Manic Street Preachers,rock
Counting Crows,rock
Sixpence None the Richer,pop
Savage Garden,pop
Marcy Playground,rock
The Smashing Pumpkins,alternative rock
Paolo Nutini,pop
José González,singer-songwriter
David Gray,singer-songwriter
Bloodhound Gang,alternative rock
Serj Tankian,rock
Disturbed,heavy metal
Tenacious D,rock
Lil' Wayne,hip hop
XV,hip hop
Chiddy Bang,hip hop
Jay-Z & Kanye West,rap
N*E*R*D,hip hop
J Cole,rap
The Cool Kids,hip hop
Mac Miller,hip hop
Mos Def,hip hop
Mike Posner,pop
Blu,hip hop
Wale,hip hop
Mike G,hip hop
BoB,rock
Wiz Khalifa,hip hop
Beastie Boys,hip hop
Ace of Base,pop
Lionel Richie,pop
Kenny Loggins,rock
Wham!,pop
Lupe Fiasco,hip hop
Fugees,hip hop
Grand Funk Railroad,rock
Sweet,rock
Supertramp,rock
Hot Chocolate,disco
Elton John,pop
Big Star,power pop
T Rex,glam rock
Electric Light Orchestra,rock
Lou Reed,rock
Bill Withers,r&b
Devo,new wave
Georg Friedrich Händel,opera
Александр Порфирьевич Бородин,classical
Antonín Dvořák,classical
Frédéric Chopin,classical
Gabriel Fauré,classical
Michael Bublé,jazz
Motörhead,rock
Evile,thrash metal
Death Angel,thrash metal
Rush,rock
Erlend Øye,electronic
Poliça,synthpop
Jamie xx,remix
Grigory Sokolov,classical
Beach House,dream pop
Mr Scruff,ninja tune
The Lucksmiths,indie pop
Deerhunter,ambient
Saskwatch,soul
Hello Satellites,90s
Emmy the Great,anti-folk
Nerf Herder,rock
Arcade Fire,indie rock
Chromatics,post-punk
Max Richter,classical
Boards of Canada,electronica
Jeniferever,indie rock
Lindstrøm & Christabelle,disco
Lake Heartbeat,pop
Scott Matthews,folk
The Head and the Heart,indie folk
Chris Staples,indie rock
Lucy Rose,indie
KT Tunstall,pop
Glen Hansard,folk
Ed Prosek,folk
You+Me,pop
Alexi Murdoch,alternative
Sleeping at Last,indie rock
Ryan Adams,rock
Ray LaMontagne,folk
Kodaline,alternative
Bahamas,folk
Graham Nash,rock
Passenger,folk
Andy Shauf,folk
Beyoncé,r&b
Amos Milburn,blues
Gene Smith,country
Os Mutantes,psychedelic
The Bombay Royale,funk
Von Thord,instrumental
Stevie Nicks,rock
XTC,new wave
Flight of the Conchords,comedy
Chris Isaak,rock
The Cars,rock
Ace,pub rock
Husky Rescue,electronic
Judie Tzuke,rock
Massive Attack,trip hop
Joy Division,post-punk
Barry Manilow,pop
Gordon Lightfoot,folk
Edwyn Collins,pop
Ringo Starr,rock
Neil Sedaka,pop
Mahavishnu Orchestra,jazz
The Fourmost,merseybeat
Flanders and Swann,comedy
Jimmy Webb,pop
Shirley Bassey,pop
Ron Goodwin & His Orchestra,easy listening
Gerry & The Pacemakers,british invasion
City Boy,rock
Manfred Mann's Earth Band,rock
Sheila E,pop
Elvis Costello & The Attractions,new wave
Procol Harum,rock
Jethro Tull,rock
The Jesus and Mary Chain,rock
Brian Eno,ambient
Lenny Kravitz,rock
Japan,new wave
Jimmy Page,rock
The Honeydrippers,r&b
Captain Beefheart & His Magic Band,blues
Count Basie,jazz
The Offspring,punk
Green Day,punk
Mike & The Mechanics,rock
Shanice,r&b
Lush,shoegaze
McAlmont & Butler,soul
Roy Orbison,rock
The Music Machine,garage rock
Neil Young,rock
Jefferson Airplane,rock
New York Dolls,rock
Roxy Music,rock
MC5,rock
Lonely The Brave,rock
Chris Stapleton,country
Bobby Long,folk
William Shatner,pop
David Duchovny,comedy
Paul Goodwin,baroque
Choir of Young Believers,indie
The Starting Line,emo
Frightened Rabbit,indie rock
Our Lady Peace,rock
Tellison,indie rock
Sufjan Stevens,folk
Bloc Party,rock
Havana Brown,dance
David Guetta,house
Kelly Rowland,r&b
Kylie Minogue,pop
Lloyd,r&b
Amelia Lily,pop
Swedish House Mafia,house
Nicole Scherzinger,pop
Enrique Iglesias,pop
Arash feat Sean Paul,pop
Sean Kingston,reggae
Taio Cruz,pop
Bridgit Mendler,pop
Miley Cyrus,pop
Timbaland,r&b
Kelly Clarkson,pop
2AM Club,pop
Cover Drive,pop
Labrinth,electronic
The Horrors,rock
Hot As Sun,rock
Incubus,rock
Joan Armatrading,pop
The Teardrop Explodes,post-punk
The National,rock
Underworld,techno
ABBA,pop
Toadies,rock
Bryan Ferry,rock
Korn feat Robert Smith,rock
Pearl Jam,grunge
Kate Bush,pop
Gary Numan,industrial
The Mummies,garage punk
Echo & the Bunnymen,rock
Elbow,rock
Pixies,rock
The Fall,post-punk
Gomez,alternative
Northside,madchester
The Wombats,indie rock
The Breeders,rock
M,pop
Semisonic,rock
Alter Bridge,rock
Natural Life,jazz
Steve Miller Band,rock
Toploader,rock
Starsailor,rock
Snow Patrol,indie rock
Julian Lennon,rock
Super Furry Animals,rock
Feeder,rock
Genesis,rock
Perfect Day,70s
The Orb,ambient
Doves,rock
Clout,70s
周杰倫,pop
梁心頤,pop
張韶涵,pop
楊丞琳,pop
GEM,rock
王菲,pop
陳奕迅,pop
丁噹,pop
Inna,dance
Dan Croll,pop
Major Lazer,dancehall
Alan Walker,country
Edward Maya,dance
Tez Cadey,house
Avicii,house
Kygo,electronic
Joris Voorn,house
戴愛玲,pop
張清芳,folk
謝和弦,hip hop
梁靜茹,pop
陳慧嫻,pop
The Streets,hip hop
The Game,hip hop
Plan B,hip hop
Lethal Bizzle,grime
50 Cent,hip hop
Royce da 5'9",hip hop
Phil Collins,pop
Sway,hip hop
Method Man,hip hop
Dido,pop
Scarface,rap
Run-DMC,hip hop
Bishop Lamont,rap
Slaughterhouse,hip hop
Juice Feat The Game,rock
Rakim,hip hop
Big Boi,hip hop
The Last Shadow Puppets,british pop
Ghostface Killah,hip hop
RZA,hip hop
Dr Dre,hip hop
Frank Ocean,r&b
Public Enemy,hip hop
Jay-Z + 9th Wonder,hip hop
Talib Kweli feat Norah Jones,hip hop
2 Chainz, Big Sean Kanye West & Pusha T,hip hop
The Roots,hip hop
John Legend, Travi$ Scott, Teyana Taylor, Cyhi The Prynce & Malik Yusef,r&b
John Legend,r&b
Goldie Lookin' Chain,hip hop
Proof feat 50 cent,hip hop
Kris Kross,rap
Buckcherry,rock
Josh Todd,hard rock
Hollywood Undead,rock
Avenged Sevenfold,rock
Smokie,pop
Lifehouse,rock
Nickelback,rock
Mayday Parade,rock
Justin Nozuka,soul
Nomy,rock
Evanescence,rock
Never Shout Never,pop
Scouting for Girls,pop
Little Man Tate,indie rock
The Zutons,rock
You Me at Six,rock
Alkaline Trio,punk
Theory of a Deadman,rock
The King Blues,punk
Anberlin,rock
Infant Sorrow,rock
The Classic Crime,rock
Cupid,r&b
Pokémon,soundtrack
Stevie Ray Vaughan and Double Trouble,blues
Bonnie Tyler,pop
The Ink Spots,pop
The Andrews Sisters,swing
Jesper Kyd,soundtrack
Stephen Rippy,soundtrack
Danny Elfman,soundtrack
Hugh Jackman,easy listening
Claude-Michel Schönberg,soundtrack
Shinedown,rock
Vertical Horizon,rock
Slash,rock
AFI,punk
Five for Fighting,rock
PlayRadioPlay!,electronic
What's happening,dance
Marvin Etzioni,country
Yeah Yeah Yeahs,rock
The Jam,punk
Tiger,dancehall
Rascal Flatts,country
3OH!3,electronic
Skillet,rock
Alex Lloyd,pop
Hey Monday,pop
Secondhand Serenade,emo
"Weird Al" Yankovic,comedy
Saving Abel,rock
All Time Low,pop punk
Matchbox Twenty,pop
Daughtry,rock
Slipknot,metal
Heaven's Basement,hard rock
Enter Shikari,post-hardcore
Papa Roach,rock
TRC,hardcore
Placebo,rock
Roni Size,drum and bass
Rufio,punk
DragonForce,power metal
Family Force 5,rock
American Hi-Fi,pop punk
My Chemical Romance,emo
Monster Truck,rock
I See Stars,hardcore
Black Star Riders,rock
Ennio Morricone,soundtrack
Two Gallants,indie rock
Jessie Ware,pop
Guru,hip hop
Marcus Foster,folk
Sam Cooke,soul
Bobby V,r&b
Treetop Flyers,country
Lee Fields & The Expressions,soul
MillionYoung,electronic
Eau Claire Memorial Jazz I,jazz
The Low Anthem,folk
The Crimea,indie
Two Wounded Birds,indie
Nick Drake,folk
Curtis Stigers,jazz
Edward Sharpe & The Magnetic Zeros,indie folk
Perfume Genius,singer-songwriter
The Kooks,rock
Pull Tiger Tail,indie
Kyla La Grange,folk
Guillemots,pop
Eagles,rock
Volcano Choir,experimental
Steven Lipson,metal
Jackson C Frank,folk
Peggy Sue,blues
Damien Jurado,americana
Fink,blues
John Cale,rock
Antony and the Johnsons,chamber pop
Haddaway,dance
Phosphorescent,country
Akron/Family,folk
Trevor Jones,soundtrack
Marketa Irglova,irish rock
Interference,90s
Glen Hansard & Markéta Irglová,soundtrack
Buffalo Springfield,rock
The Monkees,pop
The Animals,rock
Jackie Wilson,r&b
Ben E King,soul
The Ronettes,pop
Hot Chip,electronic
Leonard Cohen,folk
Jamie Scott & The Town,pop
Teddy Pendergrass,r&b
Harold Melvin & The Blue Notes,r&b
Cat Power,indie rock
Grizzly Bear,lo-fi
Beirut,folk
Astronauts,instrumental
Samantha Crain,americana
Chatham County Line,bluegrass
Cœur de Pirate,indie pop
The Antlers,indie rock
The Flaming Lips,rock
The Walkmen,indie rock
D'Angelo,r&b
Percy Sledge,soul
Orchestral Manoeuvres in the Dark,pop
Dornik,r&b
Papercuts,indie pop
Gabriel Bruce,rock
Wojciech Kilar,classical
Woodkid,baroque pop
Wilco,rock
No Doubt,rock
Mystery Jets,indie rock
Don McLean,pop
Average White Band,soul
Paul Anka,pop
The Veils,indie
Joss Whedon,soundtrack
Richard O'Brien,soundtrack
Mika,pop
Dave Van Ronk,blues
The Bravery,rock
tATu,pop
Glee Cast,pop
Jonathan Coulton,pop
Ruth Lorenzo,opera
Mylo,electronica
The Rapture,dance-punk
Tinkara Kovač,rock
Lucy Spraggan,folk
Colm Wilkinson,opera
The Temper Trap,indie rock
Sugababes,pop
The Automatic,rock
Heath Hunter & The Pleasure Company,90s
Shania Twain,country
Emeli Sandé,soul
The New Lost City Ramblers,folk
John Lennon,rock
Los Del Río,dance
Rolf Harris,comedy
Aqua,pop
Daphne & Celeste,pop
Spitting Image,comedy
Black Lace,pop
Hanson,pop
Chico,dancehall
Whigfield,eurodance
Las Ketchup,latin
Steps,pop
Phantogram,electronic
Susanne Sundfør,singer-songwriter
Janet Jackson,pop
Mr Probz,hip hop
Alaska Thunderfuck,electronic
Foxes,pop
Tove Styrke,pop
Grimes,electronic
RuPaul,dance
Cardiknox,80s
Goldroom,synthpop
Tooji,pop
Young Rival,indie rock
Lana Del Rey,pop
Micachu,pop
The Sound of Arrows,pop
Ciara,pop
Destiny's Child,pop
Solange,r&b
Tove Lo,pop
SOHN,electronic
Silverstein,screamo
Furthest Drive Home,power pop
Relient K,rock
Greeley Estates,screamo
Drop Dead Gorgeous,screamo
Boys Night Out,emo
+44,pop punk
Plain White T's,rock
The Send,christian rock
Falling Up,christian rock
Bauhaus,gothic rock
Kids in Glass Houses,rock
House of Heroes,rock
VersaEmerge,post-hardcore
The Amity Affliction,post-hardcore
Burden of a Day,screamo
The Coral,rock
Haste the Day,metalcore
Hopesfall,post-hardcore
Zebrahead,punk
The All-American Rejects,emo
Attack Attack!,rock
Senses Fail,screamo
LostAlone,rock
Poison the Well,metalcore
Before Their Eyes,post-hardcore
Heatwave,disco
The Used,rock
Run Kid Run,pop punk
Scary Kids Scaring Kids,post-hardcore
Gatsby's American Dream,indie rock
Cobra Starship,pop punk
The Word Alive,metalcore
Secret Lives Of The Freemasons,post-hardcore
At the Drive-In,emo
Chiodos,post-hardcore
The Fall of Troy,post-hardcore
Shadows Fall,metal
Valencia,rock
Dance Gavin Dance,post-hardcore
Yellowcard,pop punk
The Ghost of a Thousand,punk
New Found Glory,rock
Head Automatica,punk
Tonight Is Goodbye,rock
The Blackout,rock
Cartel,pop punk
This Providence,indie rock
Midtown,rock
Finch,post-hardcore
A,rock
Bleed The Dream,post-hardcore
Innerpartysystem,industrial rock
The Sleeping,post-hardcore
Billy Talent,rock
Fall Out Boy,rock
Shitdisco,new rave
Envy on the Coast,rock
Sky Eats Airplane,metalcore
Seether,rock
Александр Порфирьевич Бородин,classical
Antonín Dvořák,classical
Frédéric Chopin,classical
